"cond_id","K","dist","beta_x","J","n_j","ICC","N_total","method","n_ok","n_total","conv_rate","mean_bx","median_bx","bias","bias_mcse","rel_bias","rmse","mae","emp_se","mean_model_se","median_model_se","se_ratio","mean_ci_width","coverage","cov_mcse","rej_rate","rej_mcse","rel_efficiency"
1,3,"symmetric",0,20,5,0.05,100,"Oracle",1000,1000,1,-0.00587798852686174,-0.0050197715880905,-0.00587798852686174,0.00336104464691665,NA,0.10639490235237,0.0847784072140417,0.10628556401773,0.102891373115659,0.102190903891686,0.968065363029875,0.408542838450945,0.947,0.00708456067798138,0.053,0.00708456067798138,1
1,3,"symmetric",0,20,5,0.05,100,"Naive",1000,1000,1,-0.00725075710988542,-0.00360466405149325,-0.00725075710988542,0.00334045063206653,NA,0.105830171943142,0.0849245681343406,0.105634324086793,0.102288143275022,0.102102584877908,0.968322977964797,0.406151981393794,0.941,0.00745110730026082,0.059,0.00745110730026081,0.994692129070637
1,3,"symmetric",0,20,5,0.05,100,"Dummy",1000,1000,1,0.130053376506052,0.121017099875608,0.130053376506052,0.00212900498459552,NA,0.146430906241931,0.130053376506052,0.0673250490117353,0.101753868770489,0.101448287383627,1.51138202294888,0.404031226781222,0.834,0.0117662228433767,0.166,0.0117662228433767,1.37629626048215
1,3,"symmetric",0,20,5,0.05,100,"Isotonic",1000,1000,1,0.0162819965162406,0.0312186115054074,0.0162819965162406,0.00366155076995632,NA,0.116870229303624,0.096759034203773,0.115788402014052,0.102153902975238,0.101917236738918,0.88224641845252,0.405624072814597,0.921,0.00852988862764339,0.079,0.00852988862764339,1.09845703806899
1,3,"symmetric",0,20,5,0.05,100,"PenOrd",1000,1000,1,0.121198139438334,0.114604328789206,0.121198139438334,0.00229334708484741,NA,0.141220290376562,0.122066623972478,0.0725220025342524,0.101821829312018,0.101467317654297,1.40401293061271,0.404304707302012,0.845,0.0114444309600784,0.155,0.0114444309600784,1.32732196049067
1,3,"symmetric",0,20,5,0.05,100,"PolyCor",1000,1000,1,-0.00818664563788223,-0.00406993459937516,-0.00818664563788223,0.00377161794018508,NA,0.11949015838821,0.0958861722616741,0.119269031549376,0.115490943808869,0.115281434537039,0.968322977964798,0.458575883373822,0.941,0.00745110730026082,0.059,0.00745110730026081,1.12308161148989
1,3,"symmetric",0,20,5,0.05,100,"LCP",1000,1000,1,-0.00810956370716367,-0.00409790294319166,-0.00810956370716367,0.00373377770792554,NA,0.118291672994129,0.0949204891909673,0.118072418338076,0.114335909004821,0.114131695913668,0.968354088229507,0.45398964340371,0.941,0.00745110730026082,0.059,0.00745110730026081,1.11181711133451
1,3,"symmetric",0,20,5,0.05,100,"IC",1000,1000,1,0.0207077011118496,0.0337373467599975,0.0207077011118496,0.00381376007790808,NA,0.122307113657593,0.101401579059676,0.120601682956107,0.107499378740438,0.107082586707147,0.891358860883906,0.426849184321354,0.921,0.00852988862764339,0.079,0.00852988862764339,1.14955802348991
2,5,"symmetric",0,20,5,0.05,100,"Oracle",1000,1000,1,-0.000428974274594043,0.00234453791859439,-0.000428974274594043,0.00322983398751307,NA,0.102086139011307,0.0807349308695847,0.102136318647652,0.103189217865753,0.102340683860689,1.01030876413055,0.40971781008723,0.95,0.00689202437604511,0.05,0.00689202437604511,1
2,5,"symmetric",0,20,5,0.05,100,"Naive",1000,1000,1,-0.00248797393072676,-0.00282743258386442,-0.00248797393072676,0.00321874187777198,NA,0.101765067634858,0.0810571361147985,0.101785555339267,0.102010270690555,0.102021989376793,1.00220773321458,0.405037921283048,0.954,0.00662449998113065,0.046,0.00662449998113065,0.996854897446819
