"K","dist","beta_x","J","n_j","ICC","cond_id","N_total"
7,"symmetric",0,100,10,0.3,624,1000
3,"skewed",0,100,10,0.3,625,1000
5,"skewed",0,100,10,0.3,626,1000
7,"skewed",0,100,10,0.3,627,1000
3,"polarized",0,100,10,0.3,628,1000
5,"polarized",0,100,10,0.3,629,1000
7,"polarized",0,100,10,0.3,630,1000
3,"symmetric",0.2,100,10,0.3,631,1000
5,"symmetric",0.2,100,10,0.3,632,1000
7,"symmetric",0.2,100,10,0.3,633,1000
3,"skewed",0.2,100,10,0.3,634,1000
5,"skewed",0.2,100,10,0.3,635,1000
7,"skewed",0.2,100,10,0.3,636,1000
3,"polarized",0.2,100,10,0.3,637,1000
5,"polarized",0.2,100,10,0.3,638,1000
7,"polarized",0.2,100,10,0.3,639,1000
3,"symmetric",0.5,100,10,0.3,640,1000
5,"symmetric",0.5,100,10,0.3,641,1000
7,"symmetric",0.5,100,10,0.3,642,1000
3,"skewed",0.5,100,10,0.3,643,1000
5,"skewed",0.5,100,10,0.3,644,1000
7,"skewed",0.5,100,10,0.3,645,1000
3,"polarized",0.5,100,10,0.3,646,1000
5,"polarized",0.5,100,10,0.3,647,1000
7,"polarized",0.5,100,10,0.3,648,1000
3,"symmetric",0,20,20,0.3,649,400
5,"symmetric",0,20,20,0.3,650,400
7,"symmetric",0,20,20,0.3,651,400
3,"skewed",0,20,20,0.3,652,400
5,"skewed",0,20,20,0.3,653,400
7,"skewed",0,20,20,0.3,654,400
3,"polarized",0,20,20,0.3,655,400
5,"polarized",0,20,20,0.3,656,400
7,"polarized",0,20,20,0.3,657,400
3,"symmetric",0.2,20,20,0.3,658,400
5,"symmetric",0.2,20,20,0.3,659,400
7,"symmetric",0.2,20,20,0.3,660,400
3,"skewed",0.2,20,20,0.3,661,400
5,"skewed",0.2,20,20,0.3,662,400
7,"skewed",0.2,20,20,0.3,663,400
3,"polarized",0.2,20,20,0.3,664,400
5,"polarized",0.2,20,20,0.3,665,400
7,"polarized",0.2,20,20,0.3,666,400
3,"symmetric",0.5,20,20,0.3,667,400
5,"symmetric",0.5,20,20,0.3,668,400
7,"symmetric",0.5,20,20,0.3,669,400
3,"skewed",0.5,20,20,0.3,670,400
5,"skewed",0.5,20,20,0.3,671,400
7,"skewed",0.5,20,20,0.3,672,400
3,"polarized",0.5,20,20,0.3,673,400
5,"polarized",0.5,20,20,0.3,674,400
7,"polarized",0.5,20,20,0.3,675,400
3,"symmetric",0,50,20,0.3,676,1000
5,"symmetric",0,50,20,0.3,677,1000
7,"symmetric",0,50,20,0.3,678,1000
3,"skewed",0,50,20,0.3,679,1000
5,"skewed",0,50,20,0.3,680,1000
7,"skewed",0,50,20,0.3,681,1000
3,"polarized",0,50,20,0.3,682,1000
5,"polarized",0,50,20,0.3,683,1000
7,"polarized",0,50,20,0.3,684,1000
3,"symmetric",0.2,50,20,0.3,685,1000
5,"symmetric",0.2,50,20,0.3,686,1000
7,"symmetric",0.2,50,20,0.3,687,1000
3,"skewed",0.2,50,20,0.3,688,1000
5,"skewed",0.2,50,20,0.3,689,1000
7,"skewed",0.2,50,20,0.3,690,1000
3,"polarized",0.2,50,20,0.3,691,1000
5,"polarized",0.2,50,20,0.3,692,1000
7,"polarized",0.2,50,20,0.3,693,1000
3,"symmetric",0.5,50,20,0.3,694,1000
5,"symmetric",0.5,50,20,0.3,695,1000
7,"symmetric",0.5,50,20,0.3,696,1000
3,"skewed",0.5,50,20,0.3,697,1000
5,"skewed",0.5,50,20,0.3,698,1000
7,"skewed",0.5,50,20,0.3,699,1000
3,"polarized",0.5,50,20,0.3,700,1000
5,"polarized",0.5,50,20,0.3,701,1000
7,"polarized",0.5,50,20,0.3,702,1000
3,"symmetric",0,100,20,0.3,703,2000
5,"symmetric",0,100,20,0.3,704,2000
7,"symmetric",0,100,20,0.3,705,2000
3,"skewed",0,100,20,0.3,706,2000
5,"skewed",0,100,20,0.3,707,2000
7,"skewed",0,100,20,0.3,708,2000
3,"polarized",0,100,20,0.3,709,2000
5,"polarized",0,100,20,0.3,710,2000
7,"polarized",0,100,20,0.3,711,2000
3,"symmetric",0.2,100,20,0.3,712,2000
5,"symmetric",0.2,100,20,0.3,713,2000
7,"symmetric",0.2,100,20,0.3,714,2000
3,"skewed",0.2,100,20,0.3,715,2000
5,"skewed",0.2,100,20,0.3,716,2000
7,"skewed",0.2,100,20,0.3,717,2000
3,"polarized",0.2,100,20,0.3,718,2000
5,"polarized",0.2,100,20,0.3,719,2000
7,"polarized",0.2,100,20,0.3,720,2000
3,"symmetric",0.5,100,20,0.3,721,2000
5,"symmetric",0.5,100,20,0.3,722,2000
7,"symmetric",0.5,100,20,0.3,723,2000
3,"skewed",0.5,100,20,0.3,724,2000
5,"skewed",0.5,100,20,0.3,725,2000
7,"skewed",0.5,100,20,0.3,726,2000
3,"polarized",0.5,100,20,0.3,727,2000
5,"polarized",0.5,100,20,0.3,728,2000
7,"polarized",0.5,100,20,0.3,729,2000
